employeeId,trainingId,trainerId,codeQuality,communication,problemSolving,timeManagement,assignment_score
221,8,44,79,81,70,23,25
221,46,187,39,43,68,5,70
221,3,153,43,51,43,47,4
222,50,70,92,7,50,44,56
222,12,156,6,92,25,94,18
222,29,159,71,52,62,35,22
223,31,83,45,53,76,37,54
223,36,201,38,78,8,19,42
223,7,73,87,89,21,0,70
224,7,73,91,53,88,63,62
224,22,104,59,98,76,84,31
224,42,57,11,71,10,80,0
225,28,134,30,40,91,66,53
225,45,120,52,75,83,59,64
225,35,21,13,96,17,12,33
226,1,102,43,41,95,17,18
226,4,113,27,21,14,67,40
226,16,91,76,76,85,68,23
227,13,76,68,16,3,2,85
227,37,199,53,69,46,22,35
227,35,21,15,3,11,80,57
228,17,180,25,34,53,62,12
228,41,168,0,4,77,0,33
228,8,44,92,6,67,1,25
229,24,62,52,7,24,96,16
229,45,120,51,83,53,94,14
229,44,135,30,83,79,7,57
230,36,201,80,81,96,51,15
230,19,199,90,84,0,30,51
230,40,194,53,20,16,50,63
231,4,113,46,63,84,89,99
231,26,54,6,65,18,92,63
231,30,49,68,48,24,89,43
232,30,49,36,85,65,22,98
232,14,219,27,30,26,49,3
232,6,76,51,26,86,85,60
233,45,120,28,22,25,1,69
233,41,168,90,30,49,64,93
233,14,219,12,58,73,100,46
234,27,92,2,0,53,38,14
234,20,35,62,2,50,93,27
234,24,62,16,7,50,73,41
235,24,62,94,12,34,47,22
235,31,83,6,77,70,47,78
235,2,86,62,74,85,36,54
236,30,49,68,13,82,46,72
236,6,76,45,52,99,47,62
236,2,86,79,60,19,9,98
237,38,159,48,67,80,23,39
237,2,86,75,13,61,64,68
237,43,138,62,76,43,37,70
238,47,122,87,74,70,98,63
238,17,180,73,68,5,99,47
238,6,76,20,68,17,92,86
239,29,159,1,80,64,37,14
239,4,113,40,18,13,69,71
239,43,138,54,64,73,29,3
240,4,113,85,54,99,24,91
240,34,80,66,49,52,69,48
240,22,104,25,79,81,46,20
241,23,137,47,44,54,63,45
241,13,76,60,89,78,82,44
241,17,180,86,68,49,22,14
242,34,80,45,12,80,37,25
242,43,138,13,69,16,10,71
242,47,122,34,16,48,95,37
243,5,70,28,98,92,95,46
243,34,80,63,95,49,69,90
243,39,180,27,46,44,21,46
244,10,61,76,79,54,5,59
244,49,148,46,27,87,12,88
244,46,187,63,23,45,64,13
245,38,159,73,18,10,75,83
245,4,113,92,44,37,6,19
245,36,201,34,88,24,18,84
246,10,61,3,5,11,44,40
246,21,191,55,64,9,17,34
246,31,83,58,0,67,11,18
