employeeId,trainingId
111,4
111,5
111,16
112,13
112,7
112,5
113,10
113,14
113,3
114,19
114,15
114,18
115,1
115,17
115,2
116,15
116,1
116,11
117,13
117,8
117,9
118,11
118,10
118,14
119,12
119,6
119,15
120,4
120,20
120,1
121,13
121,16
121,6
122,2
122,1
122,10
123,5
123,7
123,18
124,17
124,15
124,1
125,4
125,8
125,18
126,7
126,10
126,20
127,13
127,16
127,9
128,17
128,18
128,20
129,8
129,2
129,9
130,18
130,15
130,7
131,3
131,18
131,8
132,12
132,4
132,7
133,5
133,3
133,12
134,19
134,11
134,12
135,13
135,8
135,6
136,2
136,16
136,9
137,17
137,16
137,3
138,17
138,1
138,19
139,19
139,1
139,7
140,10
140,2
140,12
141,18
141,12
141,20
142,12
142,1
142,6
143,9
143,20
143,3
144,8
144,17
144,6
145,4
145,9
145,17
146,5
146,9
146,14
147,20
147,11
147,3
148,13
148,16
148,8
149,16
149,6
149,19
150,19
150,5
150,13
151,19
151,1
151,7
152,11
152,6
152,3
153,17
153,4
153,15
154,3
154,20
154,18
155,13
155,14
155,16
156,6
156,14
156,3
157,3
157,10
157,2
158,9
158,5
158,18
159,10
159,11
159,9
160,9
160,5
160,8
161,16
161,3
161,2
162,2
162,12
162,9
163,13
163,7
163,11
164,8
164,6
164,14
165,13
165,19
165,5
166,15
166,14
166,7
167,5
167,9
167,18
168,2
168,16
168,1
169,13
169,7
169,8
170,3
170,11
170,9
171,20
171,8
171,6
172,8
172,6
172,1
173,15
173,4
173,12
174,17
174,13
174,3
175,20
175,9
175,19
176,2
176,6
176,5
177,14
177,13
177,20
178,19
178,18
178,10
179,2
179,19
179,3
180,6
180,4
180,19
181,1
181,4
181,6
182,6
182,4
182,19
183,16
183,2
183,14
184,18
184,17
184,9
185,11
185,9
185,13
186,11
186,20
186,13
187,8
187,20
187,7
188,15
188,2
188,11
189,10
189,17
189,8
190,17
190,18
190,1
191,15
191,10
191,6
192,19
192,1
192,13
193,11
193,20
193,7
194,13
194,11
194,3
195,17
195,20
195,5
196,2
196,8
196,10
197,7
197,4
197,2
198,12
198,15
198,3
199,2
199,8
199,17
200,8
200,5
200,12
201,17
201,9
201,16
202,19
202,17
202,5
203,9
203,1
203,12
204,8
204,16
204,5
205,5
205,3
205,13
206,2
206,7
206,18
207,13
207,19
207,7
208,4
208,7
208,2
209,13
209,17
209,20
210,13
210,11
210,16
211,20
211,8
211,14
212,18
212,20
212,3
213,15
213,17
213,1
214,10
214,18
214,17
215,20
215,12
215,7
216,4
216,3
216,14
217,7
217,3
217,5
218,7
218,20
218,18
219,1
219,20
219,19
220,2
220,6
220,15
221,1
221,8
221,6
222,15
222,17
222,8
223,6
223,19
223,17
224,2
224,5
224,8
225,11
225,9
225,4
226,15
226,9
226,17
227,2
227,19
227,13
228,12
228,7
228,14
229,13
229,17
229,3
230,2
230,13
230,12
231,4
231,15
231,2
232,12
232,8
232,17
233,6
233,16
233,17
234,5
234,6
234,14
235,14
235,12
235,13
236,18
236,13
236,16
237,14
237,3
237,6
238,14
238,5
238,2
239,14
239,17
239,3
240,16
240,20
240,4
241,13
241,20
241,15
242,6
242,12
242,15
243,9
243,8
243,1
244,17
244,9
244,8
245,17
245,18
245,3
246,13
246,9
246,6
247,2
247,6
247,13
248,11
248,18
248,6
249,20
249,19
249,16
250,14
250,8
250,15
251,17
251,15
251,7
252,16
252,5
252,6
253,8
253,18
253,1
254,19
254,20
254,14
255,19
255,3
255,6
256,2
256,7
256,10
257,18
257,9
257,4
258,20
258,19
258,7
259,2
259,6
259,15
260,18
260,10
260,13
261,2
261,20
261,1
262,12
262,3
262,13
263,7
263,15
263,2
264,12
264,13
264,20
265,2
265,1
265,14
266,20
266,6
266,8
267,9
267,16
267,17
268,11
268,4
268,17
269,13
269,3
269,5
270,19
270,14
270,1
271,6
271,9
271,3
272,2
272,14
272,3
273,3
273,15
273,12
274,1
274,14
274,7
275,17
275,7
275,14
276,15
276,16
276,19
277,6
277,1
277,2
278,16
278,20
278,6
279,6
279,9
279,10
280,16
280,14
280,15
281,2
281,16
281,11
282,13
282,16
282,18
283,7
283,14
283,3
284,16
284,10
284,8
285,19
285,12
285,17
286,4
286,8
286,10
287,15
287,7
287,9
288,5
288,18
288,13
289,9
289,3
289,8
290,14
290,7
290,2
291,8
291,12
291,6
292,4
292,17
292,18
293,19
293,3
293,16
294,4
294,10
294,16
295,20
295,19
295,7
296,2
296,15
296,1
297,13
297,9
297,12
298,13
298,17
298,8
299,6
299,20
299,15
300,10
300,18
300,3
301,14
301,11
301,18
302,15
302,3
302,11
303,7
303,16
303,3
304,16
304,12
304,18
305,5
305,11
305,3
306,12
306,7
306,1
307,6
307,9
307,2
308,5
308,7
308,13
309,11
309,7
309,1
310,13
310,11
310,15
311,20
311,8
311,15
312,4
312,8
312,5
313,4
313,8
313,19
314,8
314,4
314,2
315,3
315,13
315,9
316,9
316,6
316,10
317,3
317,2
317,20
318,19
318,20
318,4
319,9
319,15
319,20
320,10
320,5
320,16
321,6
321,10
321,4
322,9
322,16
322,14
323,2
323,16
323,10
324,12
324,2
324,14
325,1
325,15
325,13
326,8
326,18
326,15
327,19
327,16
327,2
328,6
328,14
328,4
329,18
329,16
329,2
330,19
330,11
330,3
331,6
331,19
331,12
332,5
332,6
332,12
333,2
333,5
333,7
334,19
334,4
334,3
335,20
335,11
335,4
336,17
336,3
336,2
337,20
337,1
337,7
338,17
338,1
338,16
339,6
339,10
339,20
340,12
340,7
340,2
341,15
341,5
341,8
342,16
342,13
342,20
343,15
343,16
343,14
344,6
344,3
344,15
345,11
345,2
345,14
346,7
346,19
346,10
347,10
347,13
347,2
348,19
348,14
348,11
349,18
349,9
349,16
350,9
350,8
350,19
351,9
351,11
351,6
352,5
352,8
352,13
353,20
353,7
353,13
354,12
354,5
354,3
355,8
355,16
355,10
356,16
356,12
356,6
357,10
357,20
357,4
358,13
358,6
358,15
359,3
359,18
359,8
360,7
360,3
360,19
361,3
361,14
361,13
362,11
362,12
362,18
363,6
363,20
363,14
364,12
364,15
364,17
365,15
365,19
365,4
366,7
366,19
366,11
367,1
367,5
367,18
368,11
368,18
368,2
369,11
369,19
369,12
370,4
370,1
370,17
371,3
371,7
371,12
372,16
372,15
372,5
373,4
373,19
373,10
374,18
374,15
374,2
375,18
375,9
375,13
376,13
376,3
376,20
377,2
377,3
377,14
378,19
378,11
378,8
379,14
379,1
379,10
380,13
380,6
380,10
381,2
381,20
381,10
382,16
382,15
382,6
383,17
383,15
383,13
384,20
384,9
384,19
385,5
385,16
385,3
386,4
386,17
386,11
387,13
387,3
387,4
388,8
388,13
388,17
389,3
389,5
389,15
390,10
390,9
390,19
391,18
391,3
391,6
392,6
392,12
392,7
393,16
393,2
393,15
394,11
394,10
394,6
395,2
395,4
395,6
396,2
396,17
396,12
397,12
397,8
397,16
398,8
398,5
398,20
399,16
399,18
399,10
400,17
400,15
400,10
401,8
401,18
401,11
402,5
402,10
402,17
403,18
403,10
403,13
404,18
404,5
404,19
405,17
405,7
405,4
406,6
406,11
406,3
407,12
