id,name,description,startDate,endDate,domainId,trainerId
1,MACHINE_LEARNING Training 592,This training focuses on MACHINE_LEARNING skills and knowledge.,2024-09-09,2024-09-26,2,163
2,DATA_ENGINEERING Training 570,This training focuses on DATA_ENGINEERING skills and knowledge.,2024-02-09,2024-04-06,1,56
3,MACHINE_LEARNING Training 410,This training focuses on MACHINE_LEARNING skills and knowledge.,2024-01-03,2024-02-12,2,174
4,MACHINE_LEARNING Training 760,This training focuses on MACHINE_LEARNING skills and knowledge.,2024-09-15,2024-11-12,2,42
5,FULL_STACK Training 875,This training focuses on FULL_STACK skills and knowledge.,2024-03-27,2024-05-06,3,211
6,MACHINE_LEARNING Training 925,This training focuses on MACHINE_LEARNING skills and knowledge.,2024-06-15,2024-08-09,2,33
7,MACHINE_LEARNING Training 971,This training focuses on MACHINE_LEARNING skills and knowledge.,2024-02-21,2024-04-09,2,192
8,MACHINE_LEARNING Training 737,This training focuses on MACHINE_LEARNING skills and knowledge.,2024-02-04,2024-02-26,2,147
9,FULL_STACK Training 297,This training focuses on FULL_STACK skills and knowledge.,2024-09-04,2024-09-23,3,106
10,MACHINE_LEARNING Training 113,This training focuses on MACHINE_LEARNING skills and knowledge.,2024-01-26,2024-02-25,2,119
11,MACHINE_LEARNING Training 551,This training focuses on MACHINE_LEARNING skills and knowledge.,2024-02-01,2024-03-13,2,30
12,DATA_ENGINEERING Training 65,This training focuses on DATA_ENGINEERING skills and knowledge.,2024-03-30,2024-05-24,1,121
13,MACHINE_LEARNING Training 362,This training focuses on MACHINE_LEARNING skills and knowledge.,2024-06-08,2024-07-09,2,92
14,DATA_ENGINEERING Training 284,This training focuses on DATA_ENGINEERING skills and knowledge.,2024-03-20,2024-04-06,1,106
15,MACHINE_LEARNING Training 138,This training focuses on MACHINE_LEARNING skills and knowledge.,2024-05-04,2024-06-20,2,105
16,MACHINE_LEARNING Training 755,This training focuses on MACHINE_LEARNING skills and knowledge.,2024-01-20,2024-02-20,2,84
17,MACHINE_LEARNING Training 547,This training focuses on MACHINE_LEARNING skills and knowledge.,2024-04-22,2024-06-05,2,180
18,MACHINE_LEARNING Training 499,This training focuses on MACHINE_LEARNING skills and knowledge.,2024-07-07,2024-07-31,2,97
19,MACHINE_LEARNING Training 278,This training focuses on MACHINE_LEARNING skills and knowledge.,2024-03-31,2024-05-29,2,143
20,FULL_STACK Training 757,This training focuses on FULL_STACK skills and knowledge.,2024-09-20,2024-11-12,3,37
