employeeId,trainingId
221,11
221,24
221,48
222,40
222,16
222,42
223,29
223,41
223,28
224,38
224,36
224,7
225,29
225,45
225,40
226,35
226,29
226,43
227,48
227,34
227,5
228,20
228,10
228,19
229,25
229,40
229,31
230,33
230,6
230,28
231,15
231,50
231,20
232,19
232,7
232,25
233,30
233,27
233,28
234,10
234,22
234,16
235,2
235,13
235,47
236,34
236,21
236,49
237,38
237,14
237,3
238,50
238,22
238,11
239,16
239,18
239,41
240,45
240,42
240,41
241,16
241,36
241,34
242,47
242,24
242,22
243,2
243,44
243,45
244,44
244,45
244,26
245,41
245,1
245,7
246,37
246,17
246,43
247,12
247,39
247,32
248,40
248,37
248,36
249,32
249,23
249,20
250,10
250,50
250,4
251,38
251,19
251,16
252,39
252,43
252,9
253,7
253,41
253,17
254,32
254,36
254,12
255,7
255,43
255,35
256,16
256,30
256,38
257,36
257,49
257,48
258,23
258,25
258,28
259,10
259,21
259,38
260,5
260,22
260,37
261,24
261,32
261,44
262,44
262,21
262,35
263,42
263,23
263,7
264,48
264,11
264,2
265,39
265,42
265,44
266,8
266,37
266,38
267,44
267,2
267,19
268,17
268,39
268,26
269,22
269,42
269,20
270,11
270,36
270,26
271,7
271,11
271,14
272,37
272,22
272,38
273,6
273,33
273,29
274,48
274,30
274,4
275,40
275,37
275,3
276,48
276,32
276,4
277,13
277,39
277,50
278,23
278,29
278,18
279,7
279,24
279,4
280,20
280,13
280,23
281,44
281,20
281,29
282,8
282,37
282,12
283,3
283,48
283,44
284,38
284,23
284,7
285,40
285,28
285,42
286,10
286,13
286,36
287,39
287,22
287,9
288,21
288,14
288,20
289,7
289,36
289,13
290,41
290,25
290,44
291,17
291,39
291,31
292,26
292,28
292,36
293,25
293,32
293,15
294,12
294,35
294,7
295,46
295,3
295,50
296,7
296,11
296,2
297,40
297,14
297,41
298,44
298,24
298,3
299,26
299,18
299,6
300,47
300,1
300,23
301,49
301,28
301,16
302,31
302,33
302,37
303,16
303,3
303,25
304,7
304,33
304,47
305,3
305,25
305,37
306,16
306,34
306,5
307,1
307,20
307,6
308,22
308,14
308,12
309,42
309,21
309,44
310,30
310,19
310,2
311,37
311,21
311,35
312,26
312,17
312,12
313,7
313,16
313,15
314,31
314,14
314,49
315,10
315,18
315,32
316,20
316,19
316,4
317,13
317,1
317,28
318,14
318,33
318,29
319,35
319,28
319,32
320,32
320,8
320,28
321,6
321,43
321,33
322,27
322,11
322,18
323,21
323,25
323,5
324,26
324,45
324,11
325,36
325,10
325,15
326,37
326,4
326,26
327,6
327,13
327,19
328,47
328,45
328,48
329,42
329,24
329,46
330,2
330,49
330,39
331,18
331,34
331,21
332,18
332,42
332,23
333,19
333,32
333,35
334,44
334,5
334,24
335,46
335,30
335,21
336,32
336,41
336,6
337,49
337,47
337,13
338,21
338,12
338,19
339,40
339,21
339,33
340,44
340,32
340,14
341,19
341,1
341,16
342,21
342,27
342,15
343,20
343,22
343,27
344,13
344,46
344,48
345,7
345,31
345,15
346,34
346,8
346,6
347,3
347,21
347,18
348,26
348,16
348,8
349,23
349,32
349,15
350,28
350,10
350,17
351,48
351,27
351,10
352,35
352,7
352,8
353,31
353,21
353,3
354,23
354,12
354,41
355,23
355,20
355,50
356,19
356,18
356,21
357,14
357,49
357,30
358,38
358,13
358,11
359,24
359,50
359,47
360,44
360,45
360,3
361,42
361,43
361,21
362,37
362,31
362,34
363,36
363,14
363,25
364,33
364,26
364,22
365,11
365,8
365,44
366,45
366,42
366,47
367,43
367,45
367,33
368,5
368,2
368,22
369,16
369,10
369,30
370,31
370,32
370,2
371,45
371,38
371,8
372,1
372,49
372,25
373,7
373,19
373,38
374,30
374,4
374,43
375,13
375,40
375,27
376,29
376,9
376,18
377,33
377,45
377,22
378,7
378,3
378,40
379,1
379,11
379,22
380,4
380,6
380,12
381,2
381,23
381,33
382,37
382,43
382,9
383,41
383,4
383,34
384,7
384,46
384,42
385,8
385,46
385,6
386,1
386,19
386,8
387,39
387,31
387,44
388,36
388,7
388,12
389,8
389,30
389,3
390,50
390,7
390,36
391,12
391,34
391,28
392,26
392,24
392,40
393,14
393,44
393,18
394,1
394,47
394,36
395,19
395,42
395,5
396,49
396,22
396,40
397,32
397,42
397,46
398,39
398,17
398,10
399,34
399,45
399,36
400,17
400,11
400,35
401,27
401,7
401,36
402,3
402,42
402,43
403,43
403,19
403,29
404,1
404,50
404,42
405,33
405,9
405,42
406,42
406,25
406,7
407,12
407,43
407,50
408,23
408,6
408,45
409,40
409,20
409,38
410,44
410,43
410,18
411,9
411,47
411,38
412,36
412,24
412,23
413,17
413,32
413,30
414,21
414,10
414,43
415,32
415,4
415,33
416,19
416,45
416,14
417,16
417,35
417,30
418,21
418,35
418,48
419,26
419,2
419,37
420,19
420,6
420,34
421,40
421,18
421,14
422,37
422,43
422,38
423,35
423,50
423,38
424,16
424,6
424,33
425,4
425,9
425,27
426,34
426,20
426,18
427,46
427,16
427,6
428,45
428,13
428,3
429,47
429,2
429,40
430,8
430,24
430,13
431,8
431,38
431,26
432,49
432,11
432,7
433,20
433,38
433,32
434,24
434,39
434,25
435,6
435,16
435,18
436,24
436,34
436,28
437,17
437,47
437,38
438,21
438,22
438,46
439,1
439,28
439,23
440,1
440,36
440,37
441,15
441,35
441,14
442,38
442,42
442,49
443,39
443,8
443,28
444,9
444,2
444,6
445,29
445,21
445,24
446,1
446,9
446,27
447,11
447,41
447,7
448,35
448,14
448,48
449,45
449,44
449,15
450,42
450,6
450,19
451,5
451,11
451,29
452,42
452,31
452,22
453,34
453,17
453,14
454,13
454,21
454,38
455,48
455,27
455,4
456,14
456,28
456,24
457,3
457,9
457,30
458,31
458,46
458,23
459,34
459,26
459,11
460,18
460,13
460,2
461,41
461,25
461,27
462,2
462,21
462,8
463,15
463,6
463,17
464,15
464,17
464,10
465,10
465,11
465,20
466,17
466,11
466,39
467,29
467,24
467,32
468,37
468,47
468,41
469,4
469,48
469,39
470,5
470,28
470,50
471,21
471,10
471,37
472,2
472,18
472,41
473,1
473,30
473,17
474,38
474,30
474,45
475,37
475,24
475,13
476,31
476,40
476,14
477,27
477,43
477,24
478,48
478,27
478,18
479,35
479,42
479,22
480,18
480,29
480,20
481,10
481,34
481,15
482,46
482,50
482,26
483,40
483,37
483,30
484,13
484,27
484,11
485,11
485,49
485,19
486,10
486,23
486,7
487,1
487,13
487,18
488,14
488,40
488,10
489,49
489,40
489,41
490,24
490,30
490,10
491,20
491,41
491,33
492,21
492,39
492,18
493,25
493,28
493,30
494,47
494,12
494,38
495,3
495,45
495,25
496,16
496,28
496,9
497,6
497,4
497,43
498,6
498,23
498,7
499,7
499,1
499,25
500,24
500,7
500,5
501,48
501,41
501,37
502,24
502,22
502,37
503,36
503,46
503,48
504,34
504,7
504,29
505,8
505,4
505,25
506,22
506,39
506,23
507,18
507,11
507,22
508,28
508,21
508,39
509,36
509,49
509,19
510,22
510,37
510,34
511,37
511,44
511,42
512,27
512,23
512,15
513,33
513,47
513,31
514,12
514,1
514,15
515,36
515,37
515,34
516,27
516,21
516,32
517,22
517,32
517,7
518,43
518,31
518,10
519,39
519,14
519,23
520,27
520,16
520,12
521,22
521,23
521,37
522,25
522,19
522,39
523,21
523,40
523,6
524,6
524,5
524,19
525,50
525,41
525,16
526,29
526,48
526,7
527,17
527,49
527,5
528,10
528,48
528,13
529,38
529,41
529,14
530,48
530,30
530,45
531,31
531,27
531,36
532,47
532,19
532,43
533,14
533,32
533,38
534,7
534,30
534,49
535,18
535,39
535,41
536,14
536,45
536,37
537,25
537,40
537,47
538,38
538,49
538,31
539,11
539,18
539,35
540,37
540,36
540,1
541,17
541,21
541,19
542,41
542,11
542,16
543,33
543,40
543,41
544,26
544,16
544,49
545,29
545,16
545,8
546,21
546,26
546,11
547,7
547,8
547,15
548,33
548,44
548,18
549,37
549,45
549,16
550,31
550,5
550,49
551,35
551,47
551,7
552,45
552,36
552,12
553,21
553,39
553,50
554,30
554,31
554,17
555,33
555,2
555,36
556,5
556,27
556,48
557,19
557,41
557,49
558,13
558,47
558,28
559,46
559,1
559,43
560,13
560,32
560,45
561,18
561,25
561,12
562,40
562,36
562,18
563,44
563,24
563,15
564,24
564,28
564,45
565,16
565,33
565,37
566,28
566,45
566,41
567,42
567,48
567,30
568,19
568,45
568,46
569,49
569,48
569,13
570,18
570,10
570,35
571,4
571,9
571,23
572,50
572,16
572,18
573,10
573,38
573,23
574,49
574,33
574,42
575,7
575,26
575,15
576,27
576,47
576,39
577,3
577,18
577,39
578,8
578,9
578,42
579,5
579,30
579,4
580,37
580,43
580,26
581,38
581,50
581,43
582,30
582,43
582,10
583,39
583,42
583,29
584,44
584,28
584,33
585,11
585,32
585,41
586,7
586,40
586,16
587,18
587,44
587,21
588,48
588,27
588,14
589,30
589,20
589,22
590,47
590,38
590,21
591,24
591,25
591,18
592,28
592,23
592,8
593,3
593,18
593,26
594,9
594,37
594,30
595,46
595,39
595,35
596,21
596,20
596,28
597,13
597,35
597,34
598,1
598,31
598,26
599,48
599,35
599,3
600,32
600,22
600,28
601,34
601,36
601,11
602,17
602,13
602,36
603,47
603,43
603,30
604,30
604,49
604,9
605,49
605,32
605,37
606,39
606,6
606,21
607,45
607,31
607,15
608,12
608,36
608,2
609,4
609,49
609,37
610,26
610,29
610,17
611,3
611,41
611,39
612,20
612,8
612,18
613,46
613,39
613,37
614,40
614,18
614,29
615,26
615,20
615,50
616,13
616,7
616,12
617,12
617,2
617,15
618,50
618,32
618,37
619,28
619,8
619,6
620,3
620,13
620,20
621,30
621,46
621,9
622,24
622,44
622,17
623,27
623,16
623,12
624,50
624,14
624,41
625,19
625,28
625,20
626,39
626,26
626,37
627,6
627,27
627,42
628,21
628,39
628,23
629,28
629,45
629,21
630,50
630,13
630,2
631,48
631,5
631,6
632,49
632,12
632,21
633,46
633,13
633,47
634,37
634,17
634,44
635,41
635,2
635,13
636,5
636,18
636,44
637,13
637,23
637,8
638,6
638,37
638,7
639,35
639,26
639,29
640,24
640,28
640,6
641,47
641,35
641,5
642,39
642,16
642,33
643,26
643,12
643,10
644,38
644,4
644,1
645,13
645,20
645,7
646,41
646,44
646,26
647,21
647,13
647,50
648,15
648,49
648,42
649,1
649,45
649,38
650,46
650,25
650,20
651,39
651,49
651,2
652,29
652,14
652,49
653,36
653,35
653,31
654,42
654,49
654,15
655,22
655,2
655,36
656,37
656,48
656,1
657,34
657,28
657,23
658,3
658,26
658,31
659,30
659,33
659,7
660,18
660,27
660,34
661,26
661,21
661,17
662,37
662,38
662,50
663,49
663,23
663,5
664,18
664,23
664,21
665,17
665,5
665,41
666,31
666,6
666,7
667,36
667,3
667,23
668,42
668,37
668,41
669,5
669,50
669,46
670,25
670,15
670,3
671,24
671,34
671,39
672,7
672,2
672,17
673,1
673,19
673,2
674,24
674,13
674,50
675,21
675,16
675,6
676,28
676,42
676,37
677,37
677,40
677,23
678,38
678,23
678,37
679,3
679,26
679,27
680,9
680,39
680,13
681,14
681,29
681,32
682,20
682,11
682,36
683,32
683,33
683,31
684,28
684,47
684,35
685,29
685,8
685,50
686,8
686,20
686,50
687,47
687,31
687,17
688,25
688,41
688,44
689,30
689,39
689,50
690,41
690,44
690,13
691,37
691,8
691,27
692,19
692,17
692,18
693,11
693,46
693,17
694,45
694,26
694,18
695,17
695,8
695,49
696,3
696,21
696,33
697,16
697,23
