employeeId,average_score,training_completed,performance
221,33.0,3,Poor
222,32.0,3,Poor
223,55.33,3,Average
224,31.0,3,Poor
225,50.0,3,Average
226,27.0,3,Poor
227,59.0,3,Average
228,23.33,3,Poor
229,29.0,3,Poor
230,43.0,3,Poor
231,68.33,3,Average
232,53.67,3,Average
233,69.33,3,Average
234,27.33,3,Poor
235,51.33,3,Average
236,77.33,3,Average
237,59.0,3,Average
238,65.33,3,Average
239,29.33,3,Poor
240,53.0,3,Average
241,34.33,3,Poor
242,44.33,3,Poor
243,60.67,3,Average
244,53.33,3,Average
245,62.0,3,Average
246,30.67,3,Poor
247,51.33,3,Average
248,45.0,3,Poor
249,37.0,3,Poor
250,60.67,3,Average
251,62.0,3,Average
252,62.33,3,Average
253,39.0,3,Poor
254,65.33,3,Average
255,65.67,3,Average
256,44.33,3,Poor
257,36.33,3,Poor
258,51.67,3,Average
259,37.67,3,Poor
260,51.0,3,Average
261,35.67,3,Poor
262,34.33,3,Poor
263,77.0,3,Average
264,62.67,3,Average
265,69.33,3,Average
266,58.0,3,Average
267,50.67,3,Average
268,68.33,3,Average
269,34.33,3,Poor
270,47.67,3,Poor
271,73.67,3,Average
272,58.33,3,Average
273,54.33,3,Average
274,60.0,3,Average
275,41.67,3,Poor
276,48.0,3,Poor
277,47.0,3,Poor
278,40.67,3,Poor
279,37.0,3,Poor
280,47.0,3,Poor
281,41.0,3,Poor
282,27.33,3,Poor
283,24.0,3,Poor
284,68.0,3,Average
285,77.0,3,Average
286,71.33,3,Average
287,77.67,3,Average
288,62.67,3,Average
289,76.67,3,Average
290,55.33,3,Average
291,57.33,3,Average
292,55.67,3,Average
293,48.0,3,Poor
294,43.0,3,Poor
295,32.0,3,Poor
296,25.33,3,Poor
297,51.67,3,Average
298,58.0,3,Average
299,83.67,3,Excellent
300,65.0,3,Average
301,45.33,3,Poor
302,49.67,3,Poor
303,71.0,3,Average
304,32.33,3,Poor
305,19.0,3,Poor
306,89.67,3,Excellent
307,64.33,3,Average
308,64.67,3,Average
309,33.67,3,Poor
310,40.0,3,Poor
311,19.67,3,Poor
312,88.0,3,Excellent
313,75.33,3,Average
314,46.0,3,Poor
315,53.67,3,Average
316,32.33,3,Poor
317,54.33,3,Average
318,29.67,3,Poor
319,71.67,3,Average
320,68.67,3,Average
321,80.0,3,Excellent
322,57.0,3,Average
323,70.0,3,Average
324,41.0,3,Poor
325,41.33,3,Poor
326,49.33,3,Poor
327,32.33,3,Poor
328,50.33,3,Average
329,53.0,3,Average
330,57.33,3,Average
331,57.33,3,Average
332,67.33,3,Average
333,71.0,3,Average
334,63.0,3,Average
335,40.33,3,Poor
336,63.67,3,Average
337,37.33,3,Poor
338,72.33,3,Average
339,38.67,3,Poor
340,49.0,3,Poor
341,45.33,3,Poor
342,54.33,3,Average
343,35.33,3,Poor
344,54.33,3,Average
345,67.33,3,Average
346,76.33,3,Average
347,30.67,3,Poor
348,64.33,3,Average
349,49.0,3,Poor
350,34.33,3,Poor
351,48.0,3,Poor
352,54.33,3,Average
353,30.0,3,Poor
354,39.0,3,Poor
355,19.67,3,Poor
356,42.0,3,Poor
357,56.67,3,Average
358,55.0,3,Average
359,76.67,3,Average
360,42.33,3,Poor
361,34.67,3,Poor
362,44.33,3,Poor
363,45.0,3,Poor
364,70.33,3,Average
365,76.0,3,Average
366,47.0,3,Poor
367,60.67,3,Average
368,52.0,3,Average
369,35.0,3,Poor
370,75.67,3,Average
371,46.33,3,Poor
372,39.0,3,Poor
373,40.67,3,Poor
374,28.0,3,Poor
375,19.67,3,Poor
376,34.67,3,Poor
377,29.33,3,Poor
378,45.33,3,Poor
379,21.67,3,Poor
380,44.33,3,Poor
381,47.0,3,Poor
382,61.67,3,Average
383,45.67,3,Poor
384,61.67,3,Average
385,90.33,3,Excellent
386,65.33,3,Average
387,71.33,3,Average
388,30.33,3,Poor
389,30.0,3,Poor
390,50.33,3,Average
391,62.0,3,Average
392,74.0,3,Average
393,32.0,3,Poor
394,13.67,3,Poor
395,34.67,3,Poor
396,49.33,3,Poor
397,40.33,3,Poor
398,30.33,3,Poor
399,44.67,3,Poor
400,66.33,3,Average
401,52.67,3,Average
402,41.67,3,Poor
403,47.67,3,Poor
404,44.67,3,Poor
405,41.33,3,Poor
406,34.67,3,Poor
407,69.0,3,Average
408,34.67,3,Poor
409,60.33,3,Average
410,71.0,3,Average
411,17.67,3,Poor
412,60.67,3,Average
413,71.67,3,Average
414,37.0,3,Poor
415,34.67,3,Poor
416,42.67,3,Poor
417,46.33,3,Poor
418,42.33,3,Poor
419,59.0,3,Average
420,50.67,3,Average
421,53.0,3,Average
422,73.33,3,Average
423,85.67,3,Excellent
424,57.67,3,Average
425,61.0,3,Average
426,4.67,3,Poor
427,65.67,3,Average
428,20.0,3,Poor
429,46.67,3,Poor
430,59.0,3,Average
431,81.33,3,Excellent
432,57.0,3,Average
433,42.0,3,Poor
434,57.33,3,Average
435,36.67,3,Poor
436,44.0,3,Poor
437,39.33,3,Poor
438,62.33,3,Average
439,46.0,3,Poor
440,46.0,3,Poor
441,38.0,3,Poor
442,61.33,3,Average
443,52.33,3,Average
444,52.33,3,Average
445,76.0,3,Average
446,37.0,3,Poor
447,53.33,3,Average
448,45.67,3,Poor
449,22.33,3,Poor
450,70.67,3,Average
451,40.0,3,Poor
452,31.33,3,Poor
453,51.0,3,Average
454,65.33,3,Average
