employeeId,role,trainingId,assignment_score,codeQuality,communication,problemSolving,timeManagement
221,EMPLOYEE,8,25,79,81,70,23
221,EMPLOYEE,46,70,39,43,68,5
221,EMPLOYEE,3,4,43,51,43,47
222,EMPLOYEE,50,56,92,7,50,44
222,EMPLOYEE,12,18,6,92,25,94
222,EMPLOYEE,29,22,71,52,62,35
223,EMPLOYEE,31,54,45,53,76,37
223,EMPLOYEE,36,42,38,78,8,19
223,EMPLOYEE,7,70,87,89,21,0
224,EMPLOYEE,7,62,91,53,88,63
224,EMPLOYEE,22,31,59,98,76,84
224,EMPLOYEE,42,0,11,71,10,80
225,EMPLOYEE,28,53,30,40,91,66
225,EMPLOYEE,45,64,52,75,83,59
225,EMPLOYEE,35,33,13,96,17,12
226,EMPLOYEE,1,18,43,41,95,17
226,EMPLOYEE,4,40,27,21,14,67
226,EMPLOYEE,16,23,76,76,85,68
227,EMPLOYEE,13,85,68,16,3,2
227,EMPLOYEE,37,35,53,69,46,22
227,EMPLOYEE,35,57,15,3,11,80
228,EMPLOYEE,17,12,25,34,53,62
228,EMPLOYEE,41,33,0,4,77,0
228,EMPLOYEE,8,25,92,6,67,1
229,EMPLOYEE,24,16,52,7,24,96
229,EMPLOYEE,45,14,51,83,53,94
229,EMPLOYEE,44,57,30,83,79,7
230,EMPLOYEE,36,15,80,81,96,51
230,EMPLOYEE,19,51,90,84,0,30
230,EMPLOYEE,40,63,53,20,16,50
231,EMPLOYEE,4,99,46,63,84,89
231,EMPLOYEE,26,63,6,65,18,92
231,EMPLOYEE,30,43,68,48,24,89
232,EMPLOYEE,30,98,36,85,65,22
232,EMPLOYEE,14,3,27,30,26,49
232,EMPLOYEE,6,60,51,26,86,85
233,EMPLOYEE,45,69,28,22,25,1
233,EMPLOYEE,41,93,90,30,49,64
233,EMPLOYEE,14,46,12,58,73,100
234,EMPLOYEE,27,14,2,0,53,38
234,EMPLOYEE,20,27,62,2,50,93
234,EMPLOYEE,24,41,16,7,50,73
235,EMPLOYEE,24,22,94,12,34,47
235,EMPLOYEE,31,78,6,77,70,47
235,EMPLOYEE,2,54,62,74,85,36
236,EMPLOYEE,30,72,68,13,82,46
236,EMPLOYEE,6,62,45,52,99,47
236,EMPLOYEE,2,98,79,60,19,9
237,EMPLOYEE,38,39,48,67,80,23
237,EMPLOYEE,2,68,75,13,61,64
237,EMPLOYEE,43,70,62,76,43,37
238,EMPLOYEE,47,63,87,74,70,98
238,EMPLOYEE,17,47,73,68,5,99
238,EMPLOYEE,6,86,20,68,17,92
239,EMPLOYEE,29,14,1,80,64,37
239,EMPLOYEE,4,71,40,18,13,69
239,EMPLOYEE,43,3,54,64,73,29
240,EMPLOYEE,4,91,85,54,99,24
240,EMPLOYEE,34,48,66,49,52,69
240,EMPLOYEE,22,20,25,79,81,46
241,EMPLOYEE,23,45,47,44,54,63
241,EMPLOYEE,13,44,60,89,78,82
241,EMPLOYEE,17,14,86,68,49,22
242,EMPLOYEE,34,25,45,12,80,37
242,EMPLOYEE,43,71,13,69,16,10
242,EMPLOYEE,47,37,34,16,48,95
243,EMPLOYEE,5,46,28,98,92,95
243,EMPLOYEE,34,90,63,95,49,69
243,EMPLOYEE,39,46,27,46,44,21
244,EMPLOYEE,10,59,76,79,54,5
244,EMPLOYEE,49,88,46,27,87,12
244,EMPLOYEE,46,13,63,23,45,64
245,EMPLOYEE,38,83,73,18,10,75
245,EMPLOYEE,4,19,92,44,37,6
245,EMPLOYEE,36,84,34,88,24,18
246,EMPLOYEE,10,40,3,5,11,44
246,EMPLOYEE,21,34,55,64,9,17
246,EMPLOYEE,31,18,58,0,67,11
247,EMPLOYEE,4,45,93,74,46,7
247,EMPLOYEE,44,85,75,41,6,35
247,EMPLOYEE,18,24,70,68,18,17
248,EMPLOYEE,1,44,41,40,100,65
248,EMPLOYEE,15,9,79,9,25,57
248,EMPLOYEE,28,82,83,38,67,57
249,EMPLOYEE,42,1,1,86,35,34
249,EMPLOYEE,28,26,37,95,44,45
249,EMPLOYEE,4,84,86,98,7,99
250,EMPLOYEE,33,70,24,60,67,88
250,EMPLOYEE,36,75,22,75,7,57
250,EMPLOYEE,24,37,12,12,78,52
251,EMPLOYEE,17,66,14,9,29,12
251,EMPLOYEE,23,93,71,41,85,61
251,EMPLOYEE,5,27,91,10,86,72
252,EMPLOYEE,3,75,5,42,57,72
252,EMPLOYEE,17,82,35,94,23,34
252,EMPLOYEE,21,30,89,20,57,33
253,EMPLOYEE,18,11,67,83,100,29
253,EMPLOYEE,34,55,44,26,79,17
253,EMPLOYEE,30,51,7,81,38,25
254,EMPLOYEE,14,39,77,85,48,62
254,EMPLOYEE,28,100,75,50,18,47
254,EMPLOYEE,35,57,24,89,89,66
255,EMPLOYEE,37,98,81,59,0,22
255,EMPLOYEE,23,67,19,86,76,29
255,EMPLOYEE,17,32,53,60,88,23
256,EMPLOYEE,46,52,94,46,11,22
256,EMPLOYEE,10,33,90,45,97,28
256,EMPLOYEE,38,48,44,88,82,19
257,EMPLOYEE,30,92,22,79,59,92
257,EMPLOYEE,20,8,85,3,31,52
257,EMPLOYEE,14,9,68,78,52,71
258,EMPLOYEE,38,73,47,48,44,46
258,EMPLOYEE,49,9,3,34,5,94
258,EMPLOYEE,48,73,83,27,93,70
259,EMPLOYEE,16,45,35,60,64,27
259,EMPLOYEE,12,63,19,62,44,36
259,EMPLOYEE,2,5,10,37,65,54
260,EMPLOYEE,43,56,17,50,21,52
260,EMPLOYEE,19,10,65,87,17,42
260,EMPLOYEE,22,87,12,77,7,69
261,EMPLOYEE,36,23,35,20,3,76
261,EMPLOYEE,41,67,33,99,97,40
261,EMPLOYEE,30,17,72,90,4,62
262,EMPLOYEE,28,36,40,83,50,46
262,EMPLOYEE,27,30,22,46,93,63
262,EMPLOYEE,20,37,79,12,34,26
263,EMPLOYEE,31,63,56,11,28,57
263,EMPLOYEE,26,96,40,61,31,94
263,EMPLOYEE,48,72,32,36,42,7
264,EMPLOYEE,19,84,56,86,62,83
264,EMPLOYEE,48,84,42,21,89,28
264,EMPLOYEE,40,20,46,47,65,55
265,EMPLOYEE,44,95,97,35,15,66
265,EMPLOYEE,47,84,95,65,28,26
265,EMPLOYEE,36,29,93,77,44,79
266,EMPLOYEE,13,93,21,40,46,47
266,EMPLOYEE,48,57,7,76,10,100
266,EMPLOYEE,9,24,99,88,51,26
267,EMPLOYEE,27,47,17,62,13,56
267,EMPLOYEE,32,89,81,53,19,61
267,EMPLOYEE,33,16,1,86,44,20
268,EMPLOYEE,6,83,35,4,21,75
268,EMPLOYEE,28,47,25,26,99,87
268,EMPLOYEE,3,75,54,9,99,89
269,EMPLOYEE,44,4,83,74,23,14
269,EMPLOYEE,28,17,16,0,12,48
269,EMPLOYEE,18,82,77,35,93,20
270,EMPLOYEE,47,14,66,35,29,64
270,EMPLOYEE,1,86,72,84,62,67
270,EMPLOYEE,2,43,16,31,62,57
271,EMPLOYEE,34,81,55,33,26,99
271,EMPLOYEE,38,57,98,64,44,57
271,EMPLOYEE,42,83,86,61,33,2
272,EMPLOYEE,21,55,24,53,2,88
272,EMPLOYEE,8,94,71,79,35,20
272,EMPLOYEE,5,26,76,80,14,48
273,EMPLOYEE,43,22,24,87,38,0
273,EMPLOYEE,39,81,87,16,79,62
273,EMPLOYEE,17,60,96,48,59,26
274,EMPLOYEE,34,84,29,55,2,5
274,EMPLOYEE,38,87,68,38,43,3
274,EMPLOYEE,44,9,45,72,1,50
275,EMPLOYEE,35,8,19,59,52,83
275,EMPLOYEE,7,57,87,51,2,73
275,EMPLOYEE,29,60,90,81,32,29
276,EMPLOYEE,21,11,35,7,9,31
276,EMPLOYEE,4,86,61,8,20,35
276,EMPLOYEE,38,47,58,41,75,86
277,EMPLOYEE,32,24,5,36,54,98
277,EMPLOYEE,39,80,60,12,10,68
277,EMPLOYEE,37,37,60,81,100,87
278,EMPLOYEE,4,8,49,89,48,7
278,EMPLOYEE,6,22,77,88,58,38
278,EMPLOYEE,28,92,41,35,3,24
279,EMPLOYEE,23,94,38,32,90,84
279,EMPLOYEE,17,1,19,20,61,60
279,EMPLOYEE,4,16,94,75,24,2
280,EMPLOYEE,27,50,14,13,17,88
280,EMPLOYEE,45,39,49,25,30,15
280,EMPLOYEE,34,52,20,94,12,7
281,EMPLOYEE,1,12,44,16,98,73
281,EMPLOYEE,22,75,38,74,66,59
281,EMPLOYEE,13,36,84,64,97,43
282,EMPLOYEE,37,5,76,90,98,67
282,EMPLOYEE,7,32,43,45,24,21
282,EMPLOYEE,3,45,0,69,38,5
283,EMPLOYEE,8,27,19,38,70,39
283,EMPLOYEE,36,17,97,59,18,79
283,EMPLOYEE,35,28,56,54,19,46
284,EMPLOYEE,3,99,64,46,88,31
284,EMPLOYEE,29,100,69,87,69,94
284,EMPLOYEE,12,5,18,76,99,97
285,EMPLOYEE,19,82,12,25,79,22
285,EMPLOYEE,31,86,67,37,21,41
285,EMPLOYEE,5,63,49,0,46,46
286,EMPLOYEE,45,24,91,69,28,19
286,EMPLOYEE,34,96,52,25,92,79
286,EMPLOYEE,12,94,59,15,23,87
287,EMPLOYEE,8,62,81,44,73,6
287,EMPLOYEE,27,87,35,1,82,35
287,EMPLOYEE,32,84,94,64,44,44
288,EMPLOYEE,25,91,67,85,100,51
288,EMPLOYEE,49,12,40,90,98,85
288,EMPLOYEE,30,85,10,57,90,40
289,EMPLOYEE,11,87,74,91,5,67
289,EMPLOYEE,39,63,28,96,37,59
289,EMPLOYEE,14,80,47,18,82,59
290,EMPLOYEE,26,48,69,74,7,17
290,EMPLOYEE,6,82,81,57,71,83
290,EMPLOYEE,18,36,83,100,21,64
291,EMPLOYEE,48,70,98,68,0,66
291,EMPLOYEE,35,57,0,38,92,73
291,EMPLOYEE,25,45,86,20,77,87
292,EMPLOYEE,43,33,19,9,29,63
292,EMPLOYEE,8,53,74,4,61,69
292,EMPLOYEE,41,81,29,90,87,39
293,EMPLOYEE,41,72,93,29,39,73
293,EMPLOYEE,11,34,39,54,10,18
293,EMPLOYEE,24,38,31,64,8,92
294,EMPLOYEE,2,55,79,32,3,56
294,EMPLOYEE,42,55,62,33,69,12
294,EMPLOYEE,7,19,74,95,55,4
295,EMPLOYEE,3,35,30,53,2,12
295,EMPLOYEE,13,10,49,85,66,92
295,EMPLOYEE,7,51,52,7,24,35
296,EMPLOYEE,38,32,70,88,81,18
296,EMPLOYEE,44,21,29,93,11,41
296,EMPLOYEE,35,23,91,27,64,20
297,EMPLOYEE,19,45,18,90,80,40
297,EMPLOYEE,16,19,64,35,49,26
297,EMPLOYEE,50,91,60,47,11,75
298,EMPLOYEE,25,49,95,75,86,69
298,EMPLOYEE,28,68,64,46,50,4
298,EMPLOYEE,47,57,10,76,9,59
299,EMPLOYEE,40,94,51,83,49,81
299,EMPLOYEE,21,94,49,37,90,25
299,EMPLOYEE,2,63,35,91,99,45
300,EMPLOYEE,23,41,42,52,58,88
300,EMPLOYEE,3,98,22,55,30,32
300,EMPLOYEE,15,56,97,63,1,51
301,EMPLOYEE,29,42,62,90,96,49
301,EMPLOYEE,47,45,19,13,88,92
301,EMPLOYEE,35,49,91,54,70,50
302,EMPLOYEE,21,50,34,65,24,99
302,EMPLOYEE,13,55,94,94,11,61
302,EMPLOYEE,38,44,98,10,50,85
303,EMPLOYEE,3,82,39,38,59,5
303,EMPLOYEE,5,84,42,45,46,95
303,EMPLOYEE,30,47,52,39,93,0
304,EMPLOYEE,31,87,55,21,73,48
304,EMPLOYEE,14,4,92,67,96,90
304,EMPLOYEE,32,6,26,26,85,54
305,EMPLOYEE,24,15,88,15,15,66
305,EMPLOYEE,33,24,52,88,78,11
305,EMPLOYEE,36,18,42,10,100,39
306,EMPLOYEE,42,95,46,4,73,18
306,EMPLOYEE,7,95,44,97,64,49
