employeeId,trainingId
221,46
221,37
221,3
222,14
222,27
222,5
223,28
223,27
223,24
224,1
224,38
224,20
225,20
225,33
225,42
226,29
226,44
226,49
227,1
227,45
227,24
228,47
228,17
228,25
229,41
229,42
229,44
230,14
230,35
230,7
231,24
231,4
231,39
232,24
232,20
232,32
233,22
233,30
233,28
234,13
234,14
234,42
235,15
235,3
235,6
236,10
236,36
236,20
237,14
237,22
237,23
238,38
238,25
238,20
239,49
239,8
239,42
240,23
240,13
240,26
241,30
241,10
241,26
242,14
242,33
242,7
243,17
243,7
243,46
244,48
244,14
244,30
245,4
245,43
245,8
246,11
246,37
246,28
247,8
247,33
247,32
248,14
248,15
248,1
249,23
249,33
249,26
250,28
250,42
250,13
251,38
251,36
251,21
252,5
252,34
252,4
253,33
253,31
253,9
254,45
254,25
254,10
255,11
255,14
255,27
256,11
256,3
256,24
257,8
257,49
257,5
258,15
258,25
258,9
259,25
259,24
259,39
260,7
260,13
260,40
261,2
261,45
261,34
262,20
262,27
262,47
263,21
263,47
263,46
264,9
264,38
264,40
265,46
265,5
265,26
266,36
266,46
266,33
267,40
267,6
267,34
268,24
268,38
268,33
269,11
269,27
269,46
270,50
270,7
270,5
271,29
271,35
271,18
272,34
272,39
272,19
273,39
273,14
273,17
274,34
274,10
274,18
275,17
275,2
275,44
276,38
276,17
276,31
277,46
277,15
277,40
278,33
278,12
278,25
279,39
279,9
279,38
280,2
280,41
280,3
281,34
281,33
281,47
282,17
282,14
282,27
283,18
283,5
283,1
284,23
284,34
284,35
285,14
285,21
285,37
286,16
286,15
286,3
287,13
287,46
287,20
288,50
288,5
288,20
289,16
289,34
289,5
290,22
290,13
290,33
291,45
291,21
291,6
292,45
292,5
292,24
293,30
293,2
293,40
294,39
294,19
294,23
295,9
295,36
295,46
296,7
296,2
296,49
297,39
297,37
297,14
298,8
298,7
298,44
299,41
299,6
299,3
300,32
300,30
300,11
301,34
301,30
301,25
302,6
302,48
302,29
303,36
303,11
303,17
304,38
304,40
304,45
305,5
305,20
305,50
306,4
306,35
306,29
307,7
307,46
307,44
308,19
308,50
308,1
309,7
309,24
309,30
310,9
310,24
310,16
311,12
311,14
311,49
312,30
312,11
312,27
313,44
313,19
313,11
314,30
314,32
314,44
315,20
315,40
315,4
316,45
316,20
316,1
317,41
317,19
317,21
318,40
318,33
318,14
319,7
319,42
319,33
320,35
320,3
320,25
321,23
321,36
321,29
322,9
322,16
322,36
323,33
323,45
323,11
324,28
324,19
324,17
325,43
325,23
325,16
326,38
326,29
326,7
327,20
327,13
327,50
328,20
328,7
328,5
329,50
329,31
329,32
330,21
330,48
330,11
331,38
331,8
331,4
332,34
332,17
332,28
333,20
333,12
333,30
334,14
334,37
334,6
335,26
335,47
335,8
336,43
336,38
336,15
337,47
337,23
337,30
338,13
338,4
338,36
339,2
339,12
339,28
340,1
340,8
340,26
341,20
341,26
341,15
342,12
342,18
342,5
343,35
343,20
343,40
344,36
344,13
344,1
345,8
345,9
345,15
346,7
346,32
346,40
347,22
347,26
347,15
348,36
348,35
348,2
349,4
349,21
349,22
350,39
350,5
350,20
351,11
351,10
351,30
352,31
352,14
352,50
353,47
353,20
353,14
354,15
354,11
354,23
355,48
355,19
355,32
356,10
356,35
356,16
357,47
357,42
357,2
358,19
358,8
358,10
359,26
359,40
359,8
360,50
360,41
360,14
361,28
361,14
361,50
362,13
362,6
362,10
363,31
363,17
363,8
364,15
364,19
364,25
365,14
365,17
365,38
366,21
366,48
366,7
367,37
367,34
367,27
368,17
368,25
368,8
369,48
369,26
369,17
370,50
370,26
370,25
371,23
371,42
371,28
372,33
372,19
372,13
373,11
373,48
373,7
374,9
374,31
374,12
375,44
375,34
375,37
376,5
376,16
376,21
377,15
377,4
377,3
378,13
378,45
378,50
379,16
379,8
379,20
380,35
380,46
380,48
381,43
381,4
381,42
382,14
382,46
382,37
383,40
383,29
383,45
384,44
384,8
384,40
385,22
385,50
385,30
386,18
386,21
386,1
387,16
387,31
387,13
388,23
388,27
388,20
389,36
389,29
389,11
390,18
390,35
390,28
391,50
391,3
391,42
392,2
392,12
392,13
393,17
393,35
393,11
394,47
394,2
394,19
395,2
395,5
395,35
396,2
396,10
396,45
397,22
397,13
397,36
398,24
398,41
398,28
399,7
399,47
399,31
400,45
400,26
400,24
401,30
401,31
401,37
402,7
402,35
402,33
403,13
403,11
403,34
404,40
404,1
404,20
405,35
405,5
405,43
406,2
406,21
406,29
407,35
407,19
407,36
408,40
408,12
408,9
409,48
409,14
409,43
410,7
410,28
410,23
411,31
411,10
411,3
412,2
412,15
412,35
413,21
413,45
413,46
414,15
414,16
414,20
415,28
415,43
415,38
416,5
416,25
416,17
417,2
417,49
417,39
418,20
418,39
418,32
419,27
419,5
419,32
420,27
420,7
420,34
421,14
421,34
421,36
422,37
422,36
422,11
423,44
423,50
423,46
424,38
424,28
424,40
425,28
425,12
425,17
426,47
426,6
426,23
427,17
427,31
427,11
428,4
428,40
428,50
429,29
429,20
429,4
430,17
430,38
430,31
431,39
431,23
431,21
432,39
432,33
432,7
433,19
433,31
433,30
434,2
434,34
434,31
435,9
435,22
435,24
436,21
436,36
436,16
437,30
437,5
437,12
438,1
438,30
438,46
439,17
439,24
439,2
440,46
440,34
440,7
441,39
441,45
441,27
442,42
442,5
442,8
443,40
443,34
443,18
444,28
444,20
444,30
445,34
445,32
445,20
446,48
446,31
446,25
447,11
447,8
447,47
448,32
448,10
448,45
449,33
449,44
449,21
450,36
450,42
450,6
451,49
451,31
451,17
452,46
452,20
452,32
453,31
453,18
453,33
454,44
454,3
454,45
455,17
455,35
455,1
456,37
456,16
456,29
457,40
457,29
457,43
458,26
458,15
458,24
459,2
459,19
459,24
460,35
460,17
460,45
461,1
461,22
461,10
462,22
462,35
462,9
463,15
463,5
463,9
464,17
464,35
464,13
465,7
465,45
465,21
466,35
466,20
466,44
467,47
467,4
467,32
468,38
468,16
468,27
469,49
469,18
469,16
470,33
470,24
470,6
471,2
471,17
471,21
472,11
472,32
472,40
473,45
473,9
473,16
474,34
474,6
474,25
475,29
475,28
475,9
476,7
476,27
476,32
477,1
477,37
477,42
478,22
478,28
478,41
479,19
479,23
479,26
480,18
480,9
480,38
481,16
481,10
481,23
482,25
482,20
482,8
483,49
483,18
483,14
484,7
484,3
484,40
485,18
485,9
485,19
486,9
486,6
486,3
487,16
487,13
487,50
488,2
488,24
488,34
489,35
489,37
489,33
490,41
490,49
490,21
491,28
491,44
491,48
492,34
492,3
492,49
493,16
493,7
493,34
494,43
494,7
494,36
495,11
495,49
495,12
496,16
496,46
496,47
497,45
497,46
497,42
498,22
498,18
498,26
499,5
499,17
499,46
500,39
500,49
500,38
501,1
501,30
501,50
502,42
502,13
502,36
503,12
503,44
503,6
504,30
504,23
504,16
505,6
505,12
505,7
506,19
506,11
506,22
507,5
507,50
507,1
508,17
508,44
508,33
509,10
509,33
509,37
510,3
510,2
510,8
511,48
511,35
511,30
512,4
512,44
512,37
513,14
513,20
513,39
514,27
514,45
514,38
515,40
515,8
515,13
516,24
516,23
516,45
517,18
517,35
517,24
518,42
518,44
518,4
519,18
519,30
519,15
520,7
520,3
520,45
521,6
521,37
521,28
522,26
522,21
522,10
523,49
523,39
523,17
524,39
524,19
524,7
525,40
525,50
525,17
526,47
526,17
526,16
527,8
527,39
527,35
528,45
528,32
528,19
529,33
529,49
529,12
530,41
530,49
530,29
531,44
531,34
531,50
532,14
532,10
532,27
533,40
533,4
533,25
534,8
534,42
534,9
535,20
535,32
535,13
536,6
536,9
536,36
537,10
537,30
537,23
538,27
538,5
538,34
539,25
539,42
539,6
540,38
540,45
540,42
541,2
541,35
541,22
542,10
542,11
542,9
543,14
543,47
543,6
544,11
544,10
544,20
545,40
545,20
545,49
546,26
546,6
546,19
547,17
547,44
547,28
548,44
548,42
548,4
549,26
549,21
549,31
550,11
550,34
550,50
551,23
551,43
551,16
552,30
552,44
552,16
553,44
553,42
553,31
554,8
554,4
554,27
555,37
555,43
555,32
556,3
556,5
556,38
557,8
557,38
557,7
558,26
558,13
558,38
559,32
559,8
559,23
560,7
560,47
560,42
561,14
561,36
561,43
562,7
562,17
562,49
563,18
563,29
563,49
564,19
564,16
564,5
565,8
565,30
565,45
566,23
566,36
566,46
567,46
567,15
567,1
568,28
568,42
568,47
569,1
569,7
569,4
570,10
570,35
570,40
571,9
571,5
571,10
572,22
572,14
572,31
573,26
573,2
573,23
574,8
574,22
574,30
575,34
575,31
575,17
576,27
576,30
576,7
577,21
577,15
577,29
578,33
578,20
578,43
579,20
579,3
579,41
580,41
580,11
580,27
581,23
581,34
581,24
582,3
582,22
582,17
583,18
583,44
583,4
584,13
584,38
584,11
585,42
585,41
585,43
586,11
586,24
586,35
587,50
587,34
587,38
588,1
588,49
588,42
589,46
589,23
589,50
590,28
590,7
590,37
591,6
591,36
591,32
592,44
592,11
592,50
593,24
593,11
593,27
594,43
594,13
594,3
595,29
595,41
595,43
596,32
596,44
596,40
597,24
597,11
597,39
598,22
598,30
598,43
599,2
599,9
599,40
600,21
600,44
600,49
601,13
601,10
601,2
602,15
602,3
602,2
603,29
603,10
603,42
604,18
604,38
604,1
605,35
605,46
605,14
606,20
606,26
606,18
607,10
607,9
607,30
608,36
608,22
608,40
609,46
609,7
609,30
610,43
610,33
610,45
611,38
611,33
611,11
612,6
612,39
612,21
613,21
613,50
613,1
614,49
614,2
614,14
615,26
615,33
615,7
616,29
616,28
616,44
617,22
617,6
617,41
618,11
618,2
618,30
619,24
619,25
619,2
620,44
620,4
620,12
621,21
621,19
621,8
622,24
622,11
622,43
623,7
623,25
623,39
624,28
624,15
624,24
625,31
625,3
625,25
626,28
626,15
626,1
627,49
627,50
627,47
628,6
628,24
628,38
629,18
629,8
629,11
630,36
630,34
630,7
631,49
631,32
631,45
632,42
632,11
632,8
633,45
633,24
633,49
634,3
634,22
634,35
635,12
635,38
635,2
636,48
636,50
636,20
637,10
637,37
637,23
638,42
638,28
638,40
639,9
639,27
639,37
640,39
640,46
640,29
641,29
641,38
641,27
642,31
642,36
642,12
643,21
643,34
643,18
644,22
644,33
644,7
645,13
645,18
645,30
646,27
646,30
646,21
647,45
647,48
647,20
648,33
648,14
648,35
649,35
649,34
649,17
650,28
650,3
650,38
651,40
651,31
651,39
652,23
652,15
652,11
653,46
653,28
653,11
654,9
654,30
654,21
655,20
655,43
655,34
656,19
656,16
656,32
657,43
657,37
657,25
658,8
658,11
658,21
659,47
659,42
659,26
660,36
660,6
660,7
661,28
661,44
661,1
662,30
662,25
662,15
663,35
663,37
663,16
664,30
664,39
664,42
665,46
665,19
665,45
666,21
666,13
666,1
667,42
667,20
667,39
668,15
668,49
668,18
669,10
669,12
669,26
670,2
670,20
670,19
671,46
671,36
671,17
672,26
672,40
672,49
673,12
673,41
673,27
674,33
674,40
674,2
675,42
675,26
675,12
676,39
676,20
676,47
677,14
677,40
677,3
678,36
678,41
678,45
679,31
679,34
679,11
680,30
680,5
680,28
681,49
681,43
681,34
682,43
682,16
682,40
683,27
683,39
683,1
684,1
684,19
684,23
685,50
685,25
685,43
686,18
686,28
686,2
687,44
687,42
687,7
688,15
688,40
688,50
689,36
689,35
689,32
690,28
690,18
690,26
691,28
691,15
691,44
692,22
692,18
692,41
693,23
693,48
693,22
694,47
694,45
694,40
695,30
695,28
695,37
696,32
696,20
696,33
697,44
697,35
697,2
698,14
698,12
698,23
699,33
699,46
699,13
700,25
700,18
700,50
701,47
701,9
701,16
702,25
702,48
702,27
703,48
703,17
703,7
704,16
704,31
704,41
705,40
705,7
705,30
706,11
706,12
706,3
707,5
707,22
707,7
708,32
708,30
708,7
709,26
709,4
709,34
710,18
710,21
710,38
711,46
711,28
711,33
712,4
712,28
712,32
713,36
713,21
713,19
714,50
714,3
714,21
715,16
715,28
715,19
716,40
716,23
716,41
717,18
717,39
717,32
718,14
718,49
718,19
719,35
719,2
719,48
720,5
720,18
720,44
721,43
721,11
721,48
722,9
722,40
722,25
723,21
723,46
723,44
724,35
724,10
724,8
725,15
725,7
725,49
726,23
726,15
726,33
727,20
727,49
727,6
728,29
728,46
728,17
729,44
729,1
729,29
730,43
730,47
730,8
731,33
731,28
731,24
732,26
732,38
732,35
733,25
733,14
733,17
734,49
734,8
734,17
735,7
735,34
735,4
736,29
736,41
736,26
737,18
737,13
737,26
738,45
738,26
738,32
739,35
739,4
739,19
740,6
740,13
740,27
741,44
741,9
741,21
742,45
742,16
742,36
743,7
743,19
743,45
744,36
744,5
744,13
745,10
745,8
745,1
746,33
746,45
746,46
747,23
747,36
747,35
748,22
748,27
748,31
749,28
749,3
749,20
750,29
750,33
750,11
751,42
751,13
751,24
752,42
752,24
752,38
753,6
753,11
753,37
754,50
754,4
754,31
755,27
