codeQuality,communication,problemSolving,timeManagement,assignment_score,codeQuality_variance,communication_variance,problemSolving_variance,timeManagement_variance,assignment_score_variance,success_rate,domain_count,PromotionStatus,designation_Software Engineer I,designation_Software Engineer II,designation_Software Engineer III,designation_Solution Consultant,designation_Solution Enabler
53.67,58.33,60.33,25.0,33.0,485.33,401.33,226.33,444.0,1137.0,0.3333333333333333,2,1,False,True,False,False,False
56.33,50.33,45.67,57.67,32.0,2010.33,1808.33,356.33,1010.33,436.0,0.0,2,1,False,True,False,False,False
56.67,73.33,35.0,18.67,55.33,702.33,340.33,1303.0,342.33,197.33,0.3333333333333333,2,1,False,False,False,True,False
53.67,74.0,58.0,75.67,31.0,1621.33,513.0,1764.0,124.33,961.0,0.3333333333333333,2,2,False,False,False,False,True
31.67,70.33,63.67,45.67,50.0,382.33,800.33,1649.33,862.33,247.0,0.3333333333333333,2,1,True,False,False,False,False
48.67,46.0,64.67,50.67,27.0,624.33,775.0,1950.33,850.33,133.0,0.0,3,1,False,False,False,False,True
45.33,29.33,20.0,34.67,59.0,746.33,1222.33,523.0,1641.33,628.0,0.3333333333333333,3,0,False,False,False,False,True
39.0,14.67,65.67,21.0,23.33,2263.0,281.33,145.33,1261.0,112.33,0.0,3,0,False,True,False,False,False
44.33,57.67,52.0,65.67,29.0,154.33,1925.33,757.0,2582.33,589.0,0.0,2,1,False,False,False,True,False
74.33,61.67,37.33,43.67,43.0,366.33,1304.33,2645.33,140.33,624.0,0.3333333333333333,3,1,False,False,False,True,False
40.0,58.67,42.0,90.0,68.33,988.0,86.33,1332.0,3.0,805.33,0.6666666666666666,2,2,False,False,True,False,False
38.0,47.0,59.0,52.0,53.67,147.0,1087.0,927.0,999.0,2286.33,0.6666666666666666,2,1,False,True,False,False,False
43.33,36.67,49.0,55.0,69.33,1697.33,357.33,576.0,2511.0,552.33,0.6666666666666666,1,1,True,False,False,False,False
26.67,3.0,51.0,68.0,27.33,985.33,13.0,3.0,775.0,182.33,0.0,1,0,False,False,False,False,True
54.0,54.33,63.0,43.33,51.33,1984.0,1346.33,687.0,40.33,789.33,0.3333333333333333,2,1,False,True,False,False,False
64.0,41.67,66.67,34.0,77.33,301.0,632.33,1776.33,469.0,345.33,1.0,2,2,False,False,False,False,True
61.67,52.0,61.33,41.33,59.0,182.33,1161.0,342.33,434.33,301.0,0.6666666666666666,2,2,True,False,False,False,False
60.0,70.0,30.67,96.33,65.33,1249.0,12.0,1196.33,14.33,384.33,0.6666666666666666,2,2,False,False,True,False,False
31.67,54.0,50.0,45.0,29.33,754.33,1036.0,1047.0,448.0,1332.33,0.3333333333333333,3,0,False,True,False,False,False
58.67,60.67,77.33,46.33,53.0,940.33,258.33,562.33,506.33,1279.0,0.3333333333333333,1,2,False,True,False,False,False
64.33,67.0,60.33,55.67,34.33,394.33,507.0,240.33,940.33,310.33,0.0,1,2,False,False,False,False,True
