value,trainingId,employeeId,trainerId
8,19,111,20
57,16,111,41
53,18,111,72
14,4,112,90
58,6,112,73
19,20,112,98
0,17,113,84
48,4,113,90
23,10,113,106
0,18,114,72
75,15,114,101
100,16,114,41
26,13,115,21
15,14,115,40
60,2,115,11
2,11,116,39
43,4,116,90
65,17,116,84
55,17,117,84
12,18,117,72
14,19,117,20
52,16,118,41
20,19,118,20
28,2,118,11
17,16,119,41
27,4,119,90
82,10,119,106
62,14,120,40
65,10,120,106
64,13,120,21
20,17,121,84
74,8,121,84
78,1,121,92
14,3,122,102
87,10,122,106
2,19,122,20
19,1,123,92
74,9,123,63
53,15,123,101
86,1,124,92
52,6,124,73
18,15,124,101
73,7,125,109
85,11,125,39
4,6,125,73
33,9,126,63
90,4,126,90
61,13,126,21
25,17,127,84
39,10,127,106
87,8,127,84
61,6,128,73
54,9,128,63
5,11,128,39
29,14,129,40
62,16,129,41
83,12,129,13
53,14,130,40
42,8,130,84
92,11,130,39
65,4,131,90
89,15,131,101
37,5,131,42
93,18,132,72
43,8,132,84
26,3,132,102
13,14,133,40
32,18,133,72
31,6,133,73
18,8,134,84
67,2,134,11
23,5,134,42
37,20,135,98
28,10,135,106
96,2,135,11
42,19,136,20
52,8,136,84
79,16,136,41
98,2,137,11
59,12,137,13
89,7,137,109
40,4,138,90
56,12,138,13
30,20,138,98
53,9,139,63
48,13,139,21
13,5,139,42
34,18,140,72
31,11,140,39
58,20,140,98
52,9,141,63
44,14,141,40
42,8,141,84
72,16,142,41
58,13,142,21
79,20,142,98
57,1,143,92
2,14,143,40
97,16,143,41
40,11,144,39
17,12,144,13
69,18,144,72
1,3,145,102
81,9,145,63
51,10,145,106
90,10,146,106
26,2,146,11
59,4,146,90
4,7,147,109
33,4,147,90
33,13,147,21
22,20,148,98
99,4,148,90
30,6,148,73
34,2,149,11
13,16,149,41
15,10,149,106
84,17,150,84
8,14,150,40
57,18,150,72
17,9,151,63
70,5,151,42
99,2,151,11
30,8,152,84
94,15,152,101
68,16,152,41
39,18,153,72
22,2,153,11
89,7,153,109
27,8,154,84
64,6,154,73
19,12,154,13
36,5,155,42
96,12,155,13
68,8,155,84
74,6,156,73
43,18,156,72
51,20,156,98
5,8,157,84
37,9,157,63
69,11,157,39
11,10,158,106
15,4,158,90
91,11,158,39
11,10,159,106
23,20,159,98
51,13,159,21
34,7,160,109
33,11,160,39
73,8,160,84
94,4,161,90
96,2,161,11
28,14,161,40
59,12,162,13
72,16,162,41
46,11,162,39
49,4,163,90
59,9,163,63
18,7,163,109
4,7,164,109
16,6,164,73
21,14,164,40
21,17,165,84
68,2,165,11
46,16,165,41
98,15,166,101
29,3,166,102
41,19,166,20
20,9,167,63
77,15,167,101
7,6,167,73
55,1,168,92
11,13,168,21
78,6,168,73
97,10,169,106
31,3,169,102
83,18,169,72
80,17,170,84
15,9,170,63
100,6,170,73
71,1,171,92
86,16,171,41
9,12,171,13
59,6,172,73
27,12,172,13
18,9,172,63
9,3,173,102
79,20,173,98
17,2,173,11
97,10,174,106
87,13,174,21
60,17,174,84
97,7,175,109
91,12,175,13
23,13,175,21
17,3,176,102
3,17,176,84
40,12,176,13
2,12,177,13
46,9,177,63
98,20,177,98
33,14,178,40
86,3,178,102
19,16,178,41
58,1,179,92
46,2,179,11
96,19,179,20
81,8,180,84
91,20,180,98
58,6,180,73
21,8,181,84
74,5,181,42
25,11,181,39
44,18,182,72
79,6,182,73
41,15,182,101
88,5,183,42
44,19,183,20
1,8,183,84
88,11,184,39
23,19,184,20
62,16,184,41
61,11,185,39
98,7,185,109
33,4,185,90
97,15,186,101
54,17,186,84
78,5,186,42
87,2,187,11
31,13,187,21
42,19,187,20
61,18,188,72
54,5,188,42
40,8,188,84
40,11,189,39
36,17,189,84
34,20,189,98
70,17,190,84
80,8,190,84
39,1,190,92
60,2,191,11
81,18,191,72
91,20,191,98
18,19,192,20
83,12,192,13
74,16,192,41
71,6,193,73
11,7,193,109
26,13,193,21
54,11,194,39
39,18,194,72
46,14,194,40
79,7,195,109
96,1,195,92
62,15,195,101
38,11,196,39
59,19,196,20
27,10,196,106
8,11,197,39
76,6,197,73
59,4,197,90
81,13,198,21
86,15,198,101
66,7,198,109
29,9,199,63
57,11,199,39
95,19,199,20
30,3,200,102
69,6,200,73
57,13,200,21
12,5,201,42
13,13,201,21
25,14,201,40
62,7,202,109
37,15,202,101
90,18,202,72
34,9,203,63
8,6,203,73
77,18,203,72
12,15,204,101
13,11,204,39
94,2,204,11
77,18,205,72
28,12,205,13
89,3,205,102
83,20,206,98
95,18,206,72
20,5,206,42
65,1,207,92
29,3,207,102
78,15,207,101
39,19,208,20
98,11,208,39
29,2,208,11
82,18,209,72
98,8,209,84
6,1,209,92
94,14,210,40
83,11,210,39
85,4,210,90
96,2,211,11
72,14,211,40
4,17,211,84
94,18,212,72
59,4,212,90
89,11,212,39
73,17,213,84
50,14,213,40
83,11,213,39
46,16,214,41
9,12,214,13
97,3,214,102
74,12,215,13
48,9,215,63
38,13,215,21
26,10,216,106
2,16,216,41
97,14,216,40
29,13,217,21
78,8,217,84
85,7,217,109
15,2,218,11
94,20,218,98
36,14,218,40
93,13,219,21
98,3,219,102
8,9,219,63
35,16,220,41
82,2,220,11
17,1,220,92
84,6,221,73
13,1,221,92
13,4,221,90
25,7,222,109
41,13,222,21
27,20,222,98
26,10,223,106
87,7,223,109
17,3,223,102
3,20,224,98
62,2,224,11
51,14,224,40
48,2,225,11
10,11,225,39
31,6,225,73
52,18,226,72
53,8,226,84
53,17,226,84
29,19,227,20
1,3,227,102
47,18,227,72
100,18,228,72
8,19,228,20
2,1,228,92
34,3,229,102
27,1,229,92
99,6,229,73
99,16,230,41
100,10,230,106
38,9,230,63
100,14,231,40
86,20,231,98
4,4,231,90
10,10,232,106
95,3,232,102
13,4,232,90
13,19,233,20
8,17,233,84
32,1,233,92
0,4,234,90
57,6,234,73
62,7,234,109
41,8,235,84
8,6,235,73
27,5,235,42
100,2,236,11
92,15,236,101
11,5,236,42
67,3,237,102
86,8,237,84
27,1,237,92
23,17,238,84
74,1,238,92
73,3,238,102
27,3,239,102
0,4,239,90
87,9,239,63
93,12,240,13
8,1,240,92
80,18,240,72
44,1,241,92
48,14,241,40
83,11,241,39
85,5,242,42
81,2,242,11
84,17,242,84
50,4,243,90
59,20,243,98
38,17,243,84
44,3,244,102
90,10,244,106
88,7,244,109
39,15,245,101
91,9,245,63
74,14,245,40
67,10,246,106
70,16,246,41
65,12,246,13
32,16,247,41
11,13,247,21
94,7,247,109
24,6,248,73
83,20,248,98
39,15,248,101
36,17,249,84
65,20,249,98
15,3,249,102
20,1,250,92
24,14,250,40
18,13,250,21
6,15,251,101
84,12,251,13
45,1,251,92
100,16,252,41
40,6,252,73
0,5,252,42
47,18,253,72
75,5,253,42
5,1,253,92
84,10,254,106
22,14,254,40
84,3,254,102
32,20,255,98
7,2,255,11
41,7,255,109
97,4,256,90
69,7,256,109
78,14,256,40
28,13,257,21
32,9,257,63
97,10,257,106
6,4,258,90
59,10,258,106
35,18,258,72
53,20,259,98
19,10,259,106
30,3,259,102
40,4,260,90
100,9,260,63
21,10,260,106
66,19,261,20
96,11,261,39
71,13,261,21
75,7,262,109
3,9,262,63
65,3,262,102
85,9,263,63
24,19,263,20
57,11,263,39
25,19,264,20
35,4,264,90
3,12,264,13
9,5,265,42
96,4,265,90
50,10,265,106
56,15,266,101
1,14,266,40
67,12,266,13
96,14,267,40
25,16,267,41
22,6,267,73
84,19,268,20
68,15,268,101
8,3,268,102
19,4,269,90
38,9,269,63
46,14,269,40
96,13,270,21
66,12,270,13
14,3,270,102
21,17,271,84
84,5,271,42
8,8,271,84
5,6,272,73
75,10,272,106
40,4,272,90
33,4,273,90
50,14,273,40
67,6,273,73
46,6,274,73
34,17,274,84
12,2,274,11
5,16,275,41
56,2,275,11
42,3,275,102
9,5,276,42
71,6,276,73
0,4,276,90
72,16,277,41
69,3,277,102
35,8,277,84
39,20,278,98
34,1,278,92
5,5,278,42
36,6,279,73
5,16,279,41
71,14,279,40
71,7,280,109
11,20,280,98
25,18,280,72
51,10,281,106
69,2,281,11
46,1,281,92
16,18,282,72
79,14,282,40
1,16,282,41
15,10,283,106
80,4,283,90
77,17,283,84
87,17,284,84
14,13,284,21
8,19,284,20
20,4,285,90
3,9,285,63
99,10,285,106
90,16,286,41
76,18,286,72
66,1,286,92
89,9,287,63
20,7,287,109
75,16,287,41
2,18,288,72
0,6,288,73
35,7,288,109
10,14,289,40
34,20,289,98
59,18,289,72
44,15,290,101
65,8,290,84
41,10,290,106
64,7,291,109
95,17,291,84
17,1,291,92
82,10,292,106
32,15,292,101
54,9,292,63
11,9,293,63
24,1,293,92
16,6,293,73
37,7,294,109
62,3,294,102
25,16,294,41
33,17,295,84
12,1,295,92
54,14,295,40
81,2,296,11
30,9,296,63
23,8,296,84
70,6,297,73
36,10,297,106
73,12,297,13
58,11,298,39
59,19,298,20
47,15,298,101
81,10,299,106
54,13,299,21
12,4,299,90
45,11,300,39
89,7,300,109
43,14,300,40
83,15,301,101
99,7,301,109
52,3,301,102
46,8,302,84
23,16,302,41
73,6,302,73
42,20,303,98
75,9,303,63
34,3,303,102
22,1,304,92
30,18,304,72
89,8,304,84
41,19,305,20
71,7,305,109
52,11,305,39
88,8,306,84
48,4,306,90
97,15,306,101
17,1,307,92
2,20,307,98
54,5,307,42
51,16,308,41
57,11,308,39
41,15,308,101
93,19,309,20
99,1,309,92
97,5,309,42
83,16,310,41
58,17,310,84
70,8,310,84
73,11,311,39
97,1,311,92
17,16,311,41
62,18,312,72
16,12,312,13
12,2,312,11
39,2,313,11
30,14,313,40
88,15,313,101
74,11,314,39
42,7,314,109
53,13,314,21
94,6,315,73
45,17,315,84
32,16,315,41
30,5,316,42
18,16,316,41
97,18,316,72
82,13,317,21
44,19,317,20
12,6,317,73
87,13,318,21
41,7,318,109
18,15,318,101
3,4,319,90
33,6,319,73
80,15,319,101
32,17,320,84
46,1,320,92
2,7,320,109
32,19,321,20
82,8,321,84
74,15,321,101
94,9,322,63
91,13,322,21
90,16,322,41
25,8,323,84
69,2,323,11
23,13,323,21
8,16,324,41
42,6,324,73
81,5,324,42
73,5,325,42
43,12,325,13
91,16,325,41
4,10,326,106
42,20,326,98
5,2,326,11
57,16,327,41
10,18,327,72
11,20,327,98
33,10,328,106
100,9,328,63
100,12,328,13
83,5,329,42
37,9,329,63
35,16,329,41
44,6,330,73
10,12,330,13
82,10,330,106
84,8,331,84
41,19,331,20
55,20,331,98
34,3,332,102
100,5,332,42
11,15,332,101
54,4,333,90
12,17,333,84
16,13,333,21
48,1,334,92
91,11,334,39
47,17,334,84
68,11,335,39
57,3,335,102
25,9,335,63
33,12,336,13
28,4,336,90
92,7,336,109
48,5,337,42
59,18,337,72
40,19,337,20
7,7,338,109
9,16,338,41
67,4,338,90
57,5,339,42
83,13,339,21
29,10,339,106
86,5,340,42
75,16,340,41
90,6,340,73
76,16,341,41
55,9,341,63
50,13,341,21
12,7,342,109
62,1,342,92
98,19,342,20
53,18,343,72
91,9,343,63
28,15,343,101
63,9,344,63
91,13,344,21
66,17,344,84
90,14,345,40
53,11,345,39
82,18,345,72
45,12,346,13
4,5,346,42
4,20,346,98
80,4,347,90
72,15,347,101
41,16,347,41
21,6,348,73
84,8,348,84
51,15,348,101
75,15,349,101
41,19,349,20
10,2,349,11
11,2,350,11
85,8,350,84
36,14,350,40
61,20,351,98
15,4,351,90
31,13,351,21
86,10,352,106
76,4,352,90
10,5,352,42
96,10,353,106
34,7,353,109
98,18,353,72
50,2,354,11
82,4,354,90
69,5,354,42
0,13,355,21
45,20,355,98
93,6,355,73
70,18,356,72
47,6,356,73
10,17,356,84
79,12,357,13
55,15,357,101
6,3,357,102
47,11,358,39
21,14,358,40
69,6,358,73
64,14,359,40
87,9,359,63
52,19,359,20
88,10,360,106
14,16,360,41
93,11,360,39
74,9,361,63
7,12,361,13
27,20,361,98
89,19,362,20
24,13,362,21
76,16,362,41
58,2,363,11
25,5,363,42
48,16,363,41
10,6,364,73
27,11,364,39
59,3,364,102
0,17,365,84
86,19,365,20
35,9,365,63
84,16,366,41
88,1,366,92
95,12,366,13
94,9,367,63
72,15,367,101
63,13,367,21
61,17,368,84
94,1,368,92
26,16,368,41
63,12,369,13
87,19,369,20
30,15,369,101
0,15,370,101
49,18,370,72
59,7,370,109
38,3,371,102
4,18,371,72
41,15,371,101
22,15,372,101
84,12,372,13
71,20,372,98
95,1,373,92
0,2,373,11
16,14,373,40
76,13,374,21
81,14,374,40
13,11,374,39
55,5,375,42
11,14,375,40
53,4,375,90
18,7,376,109
60,16,376,41
99,12,376,13
84,17,377,84
29,7,377,109
100,6,377,73
64,5,378,42
23,10,378,106
51,9,378,63
74,11,379,39
13,14,379,40
17,7,379,109
72,7,380,109
29,1,380,92
68,18,380,72
